BET-BK
12/8/2023
Periodical adjustment
AQ|AQUILA PART PROD COM|1200002400|0.8900|0.40|1.000000|1.000000|0.50|1.25
SFG|Sphera Franchise Group|38799340|23.7000|0.40|1.000000|1.000000|0.50|1.08
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3040|1.00|1.000000|1.000000|0.25|0.96
COTE|CONPET SA|8657528|80.0000|0.40|1.000000|1.000000|0.50|0.81
ATB|ANTIBIOTICE S.A.|671338040|1.4350|0.50|1.000000|1.000000|0.25|0.70
ALR|ALRO S.A.|713779135|1.5300|0.30|1.000000|1.000000|0.25|0.48
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.2760|0.50|1.000000|1.000000|0.50|0.26
ROCE|ROMCARBON SA|264122096|0.2070|0.40|1.000000|2.000000|0.50|0.13
BRK|SSIF BRK FINANCIAL GROUP SA|337429952|0.1575|1.00|1.000000|1.000000|0.25|0.08

BET-BK
11/17/2023
Operational adjustment 
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|118.9000|0.20|0.113508|1.000000|1.00|7.25
SNP|OMV PETROM S.A.|62311667058|0.5500|0.30|0.118088|1.000000|1.00|7.25
TLV|BANCA TRANSILVANIA S.A.|798658233|23.0000|1.00|0.066095|1.000000|1.00|7.25
EBS|Erste Group Bank AG|429800000|178.9500|0.80|0.026309|1.000000|0.75|7.25
M|MedLife S.A.|531481968|4.2500|0.70|0.663719|1.000000|0.75|4.70
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|9.6500|0.40|0.588574|1.000000|1.00|4.70
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|18.1800|0.50|0.459641|1.000000|1.00|4.70
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|47.4500|0.20|0.274954|1.000000|1.00|4.70
DIGI|Digi Communications N.V.|100000000|41.3000|0.40|0.635257|1.000000|0.75|4.70
ONE|ONE UNITED PROPERTIES|3797654315|0.9850|0.40|0.701371|1.000000|0.75|4.70
FP|FONDUL PROPRIETATEA|6217825213|0.5440|0.80|0.290866|1.000000|1.00|4.70
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|17.3800|0.40|0.162457|1.000000|1.00|4.70
SNG|S.N.G.N. ROMGAZ S.A.|385422400|48.9000|0.30|0.139204|1.000000|1.00|4.70
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|24.5000|0.70|1.000000|1.000000|0.75|4.61
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|29.1000|0.40|1.000000|1.000000|0.75|3.82
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.2650|1.00|1.000000|1.000000|0.50|3.63
TRP|TERAPLAST SA|2179000358|0.4830|0.60|1.000000|1.000000|0.75|2.83
SIF5|INFINITY CAPITAL INVESTMENTS S.A.|500000000|1.8450|1.00|1.000000|1.000000|0.50|2.75
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40117500|13.9600|0.80|1.000000|1.000000|0.75|2.01
LION|LION CAPITAL S.A.|507510056|2.4800|1.00|1.000000|1.000000|0.25|1.88
BVB|BURSA DE VALORI BUCURESTI SA|8049246|64.2000|1.00|1.000000|1.000000|0.50|1.54
AQ|AQUILA PART PROD COM|1200002400|0.8820|0.40|1.000000|1.000000|0.50|1.26
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3040|1.00|1.000000|1.000000|0.25|0.98
SFG|Sphera Franchise Group|38799340|20.3000|0.40|1.000000|1.000000|0.50|0.94
COTE|CONPET SA|8657528|76.8000|0.40|1.000000|1.000000|0.50|0.79
ATB|ANTIBIOTICE S.A.|671338040|1.4550|0.50|1.000000|1.000000|0.25|0.73
ALR|ALRO S.A.|713779135|1.4900|0.30|1.000000|1.000000|0.25|0.48
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.2560|0.50|1.000000|1.000000|0.50|0.24
ROCE|ROMCARBON SA|264122096|0.1895|0.40|1.000000|2.000000|0.50|0.12
BRK|SSIF BRK FINANCIAL GROUP SA|337429952|0.1585|1.00|1.000000|1.000000|0.25|0.08

BET-BK
9/25/2023
Operational adjustment ROCE
SNP|OMV PETROM S.A.|62311667058|0.5995|0.30|0.105017|1.000000|1.00|7.43
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|120.5000|0.20|0.108152|1.000000|1.00|7.41
TLV|BANCA TRANSILVANIA S.A.|798658233|22.8600|1.00|0.063303|1.000000|1.00|7.30
EBS|Erste Group Bank AG|429800000|159.7500|0.80|0.026986|1.000000|0.75|7.02
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|15.7200|0.40|0.175640|1.000000|1.00|4.86
FP|FONDUL PROPRIETATEA|6217825213|0.4080|0.80|0.373829|1.000000|1.00|4.79
SNG|S.N.G.N. ROMGAZ S.A.|385422400|44.0500|0.30|0.147451|1.000000|1.00|4.74
ONE|ONE UNITED PROPERTIES|3797654315|0.9520|0.40|0.686294|1.000000|0.75|4.70
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|18.3800|0.50|0.429563|1.000000|1.00|4.70
DIGI|Digi Communications N.V.|100000000|36.1000|0.40|0.666459|1.000000|0.75|4.56
M|MedLife S.A.|531481968|4.5600|0.70|0.565988|1.000000|0.75|4.55
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|47.0000|0.20|0.253413|1.000000|1.00|4.54
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|9.5100|0.40|0.544648|1.000000|1.00|4.53
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|29.5000|0.40|1.000000|1.000000|0.75|4.10
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|20.4000|0.70|1.000000|1.000000|0.75|4.06
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.2100|1.00|1.000000|1.000000|0.50|3.68
TRP|TERAPLAST SA|2179000358|0.5020|0.60|1.000000|1.000000|0.75|3.11
SIF5|INFINITY CAPITAL INVESTMENTS S.A.|500000000|1.7400|1.00|1.000000|1.000000|0.50|2.75
